question,reponse
Comment accéder à mes recettes sauvegardées ?,Allez dans l'onglet Favoris pour retrouver toutes vos recettes sauvegardées !
Puis-je partager une recette ?,Oui ! Appuyez sur l'icône de partage sur la recette et choisissez votre application de partage préférée !
L'application supporte quelle langue ?,Meatay supporte le français et l'anglais. D'autres langues seront ajoutées prochainement !
Comment contacter le support ?,Allez dans Paramètres puis Aide et Support pour contacter notre équipe. Nous répondons sous 24h !
Meatay est disponible sur iOS ?,Oui ! Meatay est disponible sur l'App Store pour iPhone et iPad !
Meatay est disponible sur Android ?,Oui ! Meatay est disponible sur le Google Play Store pour tous les appareils Android !
Comment mettre à jour l'application ?,Allez sur l'App Store ou le Google Play Store et appuyez sur Mettre à jour à côté de Meatay !
Puis-je utiliser Meatay sans internet ?,Meatay nécessite une connexion internet pour recommander des recettes en temps réel !
Meatay utilise l'IA ?,Oui ! Meatay utilise des algorithmes d'intelligence artificielle pour analyser vos ingrédients et vous recommander les meilleures recettes !
Comment fonctionne la recommandation ?,Meatay encode vos ingrédients avec un modèle d'IA puis compare avec 160 000 recettes pour vous trouver les meilleures correspondances !
Puis-je ajouter mes propres recettes ?,La fonctionnalité d'ajout de recettes personnelles sera disponible dans une prochaine mise à jour !
Comment noter une recette ?,Appuyez sur les étoiles ⭐ en bas de la recette pour la noter et aider la communauté !
Puis-je voir les avis sur une recette ?,Oui ! Faites défiler la page de la recette vers le bas pour voir les avis de la communauté !
Comment supprimer mon compte ?,Allez dans Paramètres puis Mon Compte puis Supprimer mon compte. Attention cette action est irréversible !
Meatay protège mes données ?,Oui ! Meatay respecte le RGPD et ne partage jamais vos données personnelles avec des tiers !
J'ai du poulet et du citron,Voici des recettes avec du poulet et du citron : 1. Poulet rôti au citron 2. Poulet grillé mariné au citron 3. Soupe de poulet au citron !
J'ai des pâtes et de la tomate,Avec des pâtes et des tomates : 1. Spaghetti à la sauce tomate 2. Penne all'arrabbiata 3. Pasta au basilic et tomate !
J'ai des œufs et du beurre,Avec des œufs et du beurre : 1. Omelette au beurre 2. Œufs brouillés 3. Crêpes simples !
Je n'ai que du riz,Avec du riz seul : 1. Riz blanc vapeur 2. Riz sauté simple 3. Porridge de riz. Avez-vous d'autres ingrédients ?
J'ai du bœuf et des oignons,Avec du bœuf et des oignons : 1. Bœuf bourguignon 2. Steak aux oignons caramélisés 3. Boulettes de bœuf !
J'ai du saumon et du citron,Avec du saumon et du citron : 1. Saumon grillé au citron 2. Saumon en papillote 3. Tartare de saumon !
J'ai du fromage et des œufs,Avec du fromage et des œufs : 1. Quiche au fromage 2. Omelette au fromage 3. Soufflé au fromage !
J'ai de la farine du sucre et des œufs,Avec ces ingrédients : 1. Gâteau simple 2. Crêpes 3. Madeleines. Que souhaitez-vous préparer ?
J'ai du lait et de la farine,Avec du lait et de la farine : 1. Crêpes 2. Béchamel 3. Pain simple !
J'ai de l'ail et de l'huile d'olive,Avec de l'ail et de l'huile d'olive : 1. Pasta aglio e olio 2. Crevettes à l'ail 3. Bread à l'ail !
J'ai du thon en boîte,Avec du thon en boîte : 1. Salade niçoise 2. Pasta au thon 3. Sandwich au thon !
J'ai des carottes des pommes de terre et des oignons,Avec ces légumes : 1. Soupe de légumes 2. Ragoût de légumes 3. Légumes rôtis au four !
J'ai du chocolat et de la crème,Avec du chocolat et de la crème : 1. Mousse au chocolat 2. Ganache au chocolat 3. Crème chocolatée !
J'ai des crevettes et de l'ail,Avec des crevettes et de l'ail : 1. Crevettes sautées à l'ail 2. Pasta aux crevettes 3. Crevettes flambées !
J'ai du poulet de l'ail du citron et de l'huile d'olive,Parfait ! 1. Poulet rôti à l'ail et citron 2. Poulet mariné méditerranéen 3. Poulet grillé à l'huile et herbes !
J'ai des lentilles et des épices,Avec des lentilles et des épices : 1. Dal de lentilles 2. Soupe de lentilles épicée 3. Salade de lentilles !
J'ai du porc et des champignons,Avec du porc et des champignons : 1. Porc sauté aux champignons 2. Rôti de porc aux champignons 3. Porc en sauce !
J'ai de l'agneau et des herbes,Avec de l'agneau et des herbes : 1. Gigot d'agneau aux herbes 2. Côtelettes d'agneau 3. Ragoût d'agneau !
J'ai des aubergines et des tomates,Avec des aubergines et des tomates : 1. Ratatouille 2. Aubergines à la parmigiana 3. Moussaka !
J'ai des courgettes,Avec des courgettes : 1. Courgettes sautées 2. Gratin de courgettes 3. Soupe de courgettes !
J'ai des pommes de terre,Avec des pommes de terre : 1. Gratin dauphinois 2. Pommes de terre rôties 3. Purée maison !
J'ai des épinards et des œufs,Avec des épinards et des œufs : 1. Quiche aux épinards 2. Œufs florentine 3. Omelette aux épinards !
J'ai du brocoli,Avec du brocoli : 1. Brocoli rôti au four 2. Soupe de brocoli 3. Pasta au brocoli et ail !
J'ai des avocats,Avec des avocats : 1. Guacamole 2. Toast à l'avocat 3. Salade d'avocat et tomate !
J'ai du quinoa,Avec du quinoa : 1. Bowl de quinoa aux légumes 2. Salade de quinoa 3. Quinoa aux champignons !
J'ai des pois chiches,Avec des pois chiches : 1. Houmous maison 2. Curry de pois chiches 3. Salade de pois chiches !
J'ai des haricots verts,Avec des haricots verts : 1. Haricots verts à l'ail 2. Salade niçoise 3. Haricots verts sautés !
J'ai des tomates cerises,Avec des tomates cerises : 1. Salade caprese 2. Pasta aux tomates cerises 3. Tarte aux tomates cerises !
J'ai du poivron,Avec des poivrons : 1. Poivrons farcis 2. Ratatouille 3. Poulet aux poivrons !
J'ai du maïs,Avec du maïs : 1. Soupe de maïs 2. Salade de maïs 3. Maïs grillé épicé !
J'ai des champignons,Avec des champignons : 1. Champignons sautés à l'ail 2. Soupe de champignons 3. Risotto aux champignons !
J'ai du céleri,Avec du céleri : 1. Soupe de céleri 2. Salade Waldorf 3. Céleri rémoulade !
J'ai des petits pois,Avec des petits pois : 1. Risotto aux petits pois 2. Soupe de petits pois 3. Pasta aux petits pois !
J'ai de la betterave,Avec de la betterave : 1. Salade de betterave 2. Soupe de betterave (borchtch) 3. Betterave rôtie !
J'ai du chou,Avec du chou : 1. Chou sauté 2. Coleslaw 3. Soupe au chou !
J'ai du chou-fleur,Avec du chou-fleur : 1. Chou-fleur rôti 2. Soupe de chou-fleur 3. Gratin de chou-fleur !
J'ai des asperges,Avec des asperges : 1. Asperges rôties 2. Risotto aux asperges 3. Soupe d'asperges !
J'ai des poireaux,Avec des poireaux : 1. Soupe aux poireaux 2. Flamiche aux poireaux 3. Poireaux vinaigrette !
J'ai des radis,Avec des radis : 1. Salade de radis 2. Beurre de radis 3. Radis marinés !
J'ai des concombres,Avec des concombres : 1. Salade de concombres 2. Tzatziki 3. Gaspacho de concombre !
J'ai de la laitue,Avec de la laitue : 1. Salade verte simple 2. Salade César 3. Wraps à la laitue !
J'ai des bananes,Avec des bananes : 1. Banana bread 2. Smoothie à la banane 3. Bananes flambées !
J'ai des pommes,Avec des pommes : 1. Tarte aux pommes 2. Compote de pommes 3. Crumble aux pommes !
J'ai des fraises,Avec des fraises : 1. Fraises à la crème 2. Tarte aux fraises 3. Smoothie aux fraises !
J'ai des pêches,Avec des pêches : 1. Tarte aux pêches 2. Pêches rôties au miel 3. Smoothie aux pêches !
J'ai des poires,Avec des poires : 1. Tarte aux poires 2. Poires pochées 3. Salade de poires et fromage !
J'ai des abricots,Avec des abricots : 1. Confiture d'abricots 2. Tarte aux abricots 3. Abricots rôtis !
J'ai des cerises,Avec des cerises : 1. Clafoutis aux cerises 2. Tarte aux cerises 3. Confiture de cerises !
J'ai des mangues,Avec des mangues : 1. Smoothie à la mangue 2. Salade de mangue 3. Sorbet à la mangue !
J'ai des ananas,Avec de l'ananas : 1. Ananas grillé au caramel 2. Smoothie ananas coco 3. Pizza hawaïenne !
J'ai des citrons,Avec des citrons : 1. Tarte au citron 2. Limonade maison 3. Poulet au citron !
J'ai des oranges,Avec des oranges : 1. Jus d'orange frais 2. Canard à l'orange 3. Gâteau à l'orange !
J'ai du lait de coco,Avec du lait de coco : 1. Curry au lait de coco 2. Riz au lait de coco 3. Soupe thaï !
J'ai de la sauce soja,Avec de la sauce soja : 1. Riz sauté à la sauce soja 2. Marinade teriyaki 3. Nouilles sautées !
J'ai du miso,Avec du miso : 1. Soupe miso 2. Marinade au miso 3. Ramen au miso !
J'ai du tahini,Avec du tahini : 1. Houmous maison 2. Sauce tahini 3. Falafels avec sauce tahini !
J'ai de la crème fraîche,Avec de la crème fraîche : 1. Sauce à la crème 2. Gratin dauphinois 3. Pasta à la crème !
J'ai du brie,Avec du brie : 1. Brie fondu au four 2. Tartine au brie et miel 3. Salade au brie chaud !
J'ai de la mozzarella,Avec de la mozzarella : 1. Pizza margherita 2. Salade caprese 3. Mozzarella in carrozza !
J'ai du parmesan,Avec du parmesan : 1. Pasta Carbonara 2. Risotto au parmesan 3. Soupe minestrone !
J'ai du gruyère,Avec du gruyère : 1. Gratin dauphinois 2. Croque-monsieur 3. Fondue suisse !
J'ai de la ricotta,Avec de la ricotta : 1. Pasta à la ricotta 2. Gnocchi à la ricotta 3. Cannoli !
J'ai du jambon,Avec du jambon : 1. Croque-monsieur 2. Quiche au jambon 3. Pasta au jambon !
J'ai du bacon,Avec du bacon : 1. Pasta Carbonara 2. Burger au bacon 3. Salade bacon croutons !
J'ai des saucisses,Avec des saucisses : 1. Saucisses aux lentilles 2. Hot-dog maison 3. Cassoulet !
J'ai du chorizo,Avec du chorizo : 1. Pasta au chorizo 2. Omelette au chorizo 3. Riz au chorizo !
J'ai des anchois,Avec des anchois : 1. Pizza aux anchois 2. Pasta puttanesca 3. Tapenade aux anchois !
J'ai des sardines,Avec des sardines : 1. Sardines grillées 2. Pasta aux sardines 3. Tartines aux sardines !
J'ai des moules,Avec des moules : 1. Moules marinières 2. Moules frites 3. Soupe de moules !
J'ai des palourdes,Avec des palourdes : 1. Pasta alle vongole 2. Soupe de palourdes 3. Palourdes à l'ail !
J'ai du homard,Avec du homard : 1. Bisque de homard 2. Homard thermidor 3. Pasta au homard !
J'ai des calamars,Avec des calamars : 1. Calamars frits 2. Calamars à l'ail et persil 3. Pasta aux calamars !
J'ai du cabillaud,Avec du cabillaud : 1. Cabillaud au four 2. Fish and chips 3. Cabillaud à la tomate !
J'ai de la truite,Avec de la truite : 1. Truite aux amandes 2. Truite fumée en salade 3. Truite au four !
J'ai du tofu,Avec du tofu : 1. Tofu sauté aux légumes 2. Curry de tofu 3. Agedashi tofu !
J'ai des edamame,Avec des edamame : 1. Edamame au sel 2. Salade d'edamame 3. Riz aux edamame !
J'ai des noix,Avec des noix : 1. Gâteau aux noix 2. Sauce aux noix pour pasta 3. Salade aux noix !
J'ai des amandes,Avec des amandes : 1. Gâteau aux amandes 2. Poulet aux amandes 3. Granola aux amandes !
J'ai des noisettes,Avec des noisettes : 1. Gâteau aux noisettes 2. Pâte à tartiner maison 3. Salade aux noisettes !
J'ai des cacahuètes,Avec des cacahuètes : 1. Sauce satay 2. Cookies aux cacahuètes 3. Pad thaï aux cacahuètes !
J'ai des pistaches,Avec des pistaches : 1. Gâteau aux pistaches 2. Glace aux pistaches 3. Pesto de pistaches !
J'ai du miel,Avec du miel : 1. Poulet au miel 2. Vinaigrette au miel 3. Pain d'épices au miel !
J'ai de la cannelle,Avec de la cannelle : 1. Compote à la cannelle 2. Pain perdu à la cannelle 3. Riz au lait à la cannelle !
J'ai du gingembre,Avec du gingembre : 1. Thé au gingembre 2. Poulet au gingembre 3. Biscuits au gingembre !
J'ai du cumin,Avec du cumin : 1. Houmous au cumin 2. Chili con carne 3. Lentilles au cumin !
J'ai du curry,Avec du curry : 1. Curry de poulet 2. Curry de légumes 3. Soupe au curry !
J'ai du paprika,Avec du paprika : 1. Poulet au paprika 2. Goulash 3. Pommes de terre au paprika !
J'ai du thym,Avec du thym : 1. Poulet rôti au thym 2. Soupe provençale 3. Pommes de terre au thym !
J'ai du romarin,Avec du romarin : 1. Agneau au romarin 2. Pommes de terre au romarin 3. Focaccia au romarin !
J'ai du basilic,Avec du basilic : 1. Pesto maison 2. Pasta au basilic 3. Salade caprese au basilic !
J'ai de la coriandre,Avec de la coriandre : 1. Guacamole à la coriandre 2. Curry à la coriandre 3. Taboulé à la coriandre !
J'ai du persil,Avec du persil : 1. Taboulé 2. Gremolata 3. Sauce verte au persil !
J'ai de la menthe,Avec de la menthe : 1. Thé à la menthe 2. Mojito 3. Sauce menthe pour agneau !
J'ai de la citronnelle,Avec de la citronnelle : 1. Soupe thaï Tom Yum 2. Marinade à la citronnelle 3. Curry à la citronnelle !
J'ai du vinaigre balsamique,Avec du vinaigre balsamique : 1. Vinaigrette balsamique 2. Poulet au balsamique 3. Fraises au balsamique !
J'ai de la moutarde,Avec de la moutarde : 1. Poulet à la moutarde 2. Vinaigrette à la moutarde 3. Lapin à la moutarde !
J'ai du ketchup,Avec du ketchup : 1. Sauce barbecue maison 2. Boulettes en sauce 3. Burger maison !
J'ai de la mayonnaise,Avec de la mayonnaise : 1. Salade de pommes de terre 2. Sandwich club 3. Coleslaw !
J'ai de la levure,Avec de la levure : 1. Pain maison 2. Pizza maison 3. Brioche !
J'ai du bicarbonate,Avec du bicarbonate : 1. Gâteau moelleux 2. Cookies 3. Scones !
J'ai de la vanille,Avec de la vanille : 1. Crème brûlée 2. Gâteau à la vanille 3. Panna cotta !
J'ai de la gélatine,Avec de la gélatine : 1. Panna cotta 2. Gelée de fruits 3. Mousse à la gélatine !
J'ai du cacao,Avec du cacao : 1. Gâteau au chocolat 2. Brownies 3. Boisson chocolatée chaude !
J'ai de la confiture,Avec de la confiture : 1. Croissants à la confiture 2. Crêpes à la confiture 3. Gâteau fourré !
J'ai des cornichons,Avec des cornichons : 1. Tartare de bœuf 2. Sandwich au cornichon 3. Sauce gribiche !
J'ai des câpres,Avec des câpres : 1. Pasta puttanesca 2. Poulet piccata 3. Salade niçoise !
J'ai des olives,Avec des olives : 1. Tapenade 2. Pizza aux olives 3. Pasta aux olives !
J'ai du vin blanc,Avec du vin blanc : 1. Moules marinières 2. Poulet au vin blanc 3. Risotto au vin blanc !
J'ai du vin rouge,Avec du vin rouge : 1. Bœuf bourguignon 2. Coq au vin 3. Sauce au vin rouge !
J'ai de la bière,Avec de la bière : 1. Moules à la bière 2. Bœuf à la bière 3. Beignets à la bière !
J'ai du bouillon de poulet,Avec du bouillon de poulet : 1. Risotto 2. Soupe de poulet 3. Sauce pour pâtes !
J'ai de la crème de coco,Avec de la crème de coco : 1. Curry thaï 2. Dessert à la noix de coco 3. Soupe à la noix de coco !
J'ai des pignons de pin,Avec des pignons de pin : 1. Pesto à la gênoise 2. Salade aux pignons 3. Pasta aux pignons !
J'ai des graines de sésame,Avec des graines de sésame : 1. Tahini maison 2. Salade asiatique au sésame 3. Poulet au sésame !
J'ai des graines de chia,Avec des graines de chia : 1. Pudding de chia 2. Smoothie aux graines de chia 3. Confiture aux graines de chia !
J'ai du lait d'amande,Avec du lait d'amande : 1. Smoothie au lait d'amande 2. Porridge au lait d'amande 3. Crêpes au lait d'amande !
J'ai du yaourt,Avec du yaourt : 1. Tzatziki 2. Marinade au yaourt pour poulet 3. Cake au yaourt !
J'ai de la ricotta et des épinards,Avec de la ricotta et des épinards : 1. Lasagnes aux épinards 2. Cannelloni 3. Quiche ricotta épinards !
J'ai du butternut,Avec du butternut : 1. Soupe de butternut 2. Gratin de butternut 3. Risotto au butternut !
J'ai des endives,Avec des endives : 1. Endives au jambon 2. Salade d'endives aux noix 3. Endives braisées !
J'ai du fenouil,Avec du fenouil : 1. Fenouil braisé 2. Soupe de fenouil 3. Salade de fenouil et orange !
J'ai du navet,Avec des navets : 1. Gratin de navets 2. Ragoût de navets 3. Soupe de navets !
J'ai de la patate douce,Avec de la patate douce : 1. Patates douces rôties 2. Soupe de patate douce 3. Curry de patate douce !
J'ai des topinambours,Avec des topinambours : 1. Soupe de topinambours 2. Gratin de topinambours 3. Topinambours rôtis !
J'ai du céleri-rave,Avec du céleri-rave : 1. Purée de céleri-rave 2. Gratin de céleri-rave 3. Salade de céleri-rave !
J'ai des fèves,Avec des fèves : 1. Fèves à l'huile d'olive 2. Ful medames 3. Salade de fèves !
J'ai des haricots blancs,Avec des haricots blancs : 1. Cassoulet 2. Soupe de haricots blancs 3. Salade de haricots blancs !
J'ai des haricots noirs,Avec des haricots noirs : 1. Tacos aux haricots noirs 2. Soupe de haricots noirs 3. Riz et haricots noirs !
J'ai des lentilles corail,Avec des lentilles corail : 1. Soupe de lentilles corail 2. Dal indien 3. Burger de lentilles !
J'ai du soja,Avec du soja : 1. Edamame 2. Tofu sauté 3. Lait de soja maison !
J'ai de la courge,Avec de la courge : 1. Soupe de courge 2. Gratin de courge 3. Courge rôtie aux épices !
J'ai des câpres et des anchois,Avec des câpres et des anchois : 1. Tapenade noire 2. Pasta puttanesca 3. Sauce pour viande !
C'est combien de calories ?,Les calories varient selon les recettes. Précisez quelle recette vous intéresse pour avoir les détails nutritionnels !
Je veux une recette légère,Listez vos ingrédients et je filtrerai les recettes à moins de 400 calories !
Je surveille mon poids,Donnez-moi vos ingrédients et je vous recommande des recettes légères et équilibrées !
Recette pauvre en calories,Listez vos ingrédients et je vous recommande les recettes les plus légères disponibles !
Recette riche en protéines,Avez-vous du poulet des œufs du thon du quinoa ou des légumineuses ?
Recette faible en glucides,Évitez les pâtes le riz et le pain. Quels ingrédients avez-vous ?
Je fais du sport je veux manger équilibré,Pour un repas sportif : privilégiez protéines et légumes. Quels ingrédients avez-vous ?
Recette avec peu de matières grasses,Pour une recette allégée en graisses : dites-moi vos ingrédients et je filtre les recettes adaptées !
Recette riche en fibres,Pour plus de fibres : légumineuses légumes et céréales complètes sont vos alliés. Quels ingrédients avez-vous ?
Recette anti-inflammatoire,Pour une alimentation anti-inflammatoire : curcuma gingembre poissons gras et légumes verts sont idéaux. Qu'avez-vous ?
Recette bonne pour le cœur,Pour le cœur : privilégiez huile d'olive poissons gras avocats et légumes. Quels ingrédients avez-vous ?
Recette bonne pour la peau,Pour la peau : avocats baies poissons gras et noix sont excellents. Qu'avez-vous ?
Recette bonne pour les os,Pour les os : produits laitiers sardines brocoli et amandes sont riches en calcium. Qu'avez-vous ?
Recette pour prendre du muscle,Pour la prise de muscle : beaucoup de protéines comme poulet œufs légumineuses et fromage blanc !
Recette pour perdre du poids,Pour perdre du poids : protéines maigres légumes et réduction des glucides. Quels ingrédients avez-vous ?
Recette pauvre en sel,Pour réduire le sel : herbes fraîches épices citron et vinaigre remplacent avantageusement le sel !
Recette pauvre en sucre,Pour réduire le sucre : fruits frais épices naturelles et stevia sont d'excellentes alternatives !
Recette riche en fer,Pour le fer : viande rouge lentilles épinards et haricots sont vos meilleurs alliés. Qu'avez-vous ?
Recette riche en calcium,Pour le calcium : fromage yaourt sardines brocoli et amandes. Qu'avez-vous ?
Recette riche en magnésium,Pour le magnésium : noix graines légumineuses et chocolat noir. Quels ingrédients avez-vous ?
Recette riche en vitamine C,Pour la vitamine C : poivrons agrumes kiwis fraises et brocoli. Qu'avez-vous ?
Recette riche en oméga 3,Pour les oméga-3 : saumon maquereau sardines noix et graines de lin. Qu'avez-vous ?
Recette pour diabétique,Pour les diabétiques : privilégiez les aliments à faible index glycémique comme légumineuses légumes et céréales complètes !
Recette pour cholestérol,Pour réduire le cholestérol : avocats huile d'olive poissons gras et avoine sont excellents !
Recette pour hypertension,Pour l'hypertension : réduisez le sel et privilégiez légumes fruits et poissons !
Repas équilibré,Un repas équilibré contient protéines légumes et féculents en portions raisonnables. Quels ingrédients avez-vous ?
Recette saine,Pour une recette saine : beaucoup de légumes protéines maigres et peu de graisses saturées. Qu'avez-vous ?
Alimentation équilibrée,Une alimentation équilibrée inclut fruits légumes protéines céréales complètes et bonnes graisses. Puis-je vous aider ?
Combien de protéines dans ce plat ?,Les informations nutritionnelles détaillées sont disponibles sur la page de chaque recette dans l'application Meatay !
Quels aliments sont riches en protéines ?,Les aliments riches en protéines : poulet bœuf poisson œufs légumineuses fromage et tofu !
Quels aliments sont riches en glucides ?,Les aliments riches en glucides : pâtes riz pain pommes de terre céréales et légumineuses !
Quels aliments sont riches en graisses saines ?,Les bonnes graisses se trouvent dans : avocats huile d'olive noix saumon et graines !
Recette pour bébé,Pour les bébés : purées de légumes compotes et céréales sans sel ni sucre ajoutés. Quels ingrédients avez-vous ?
Recette pour enfants,Pour les enfants : recettes colorées non épicées et riches en nutriments. Quels ingrédients avez-vous ?
Recette pour personnes âgées,Pour les personnes âgées : plats faciles à mâcher riches en calcium protéines et vitamines !
Petit déjeuner équilibré,Pour un petit-déjeuner équilibré : œufs fruits yaourt et céréales complètes sont parfaits. Qu'avez-vous ?
Déjeuner équilibré,Pour un déjeuner équilibré : protéines légumes et une portion de féculents. Quels ingrédients avez-vous ?
Dîner léger,Pour un dîner léger : soupe salade ou protéines avec légumes. Quels ingrédients avez-vous ?
Collation saine,Pour une collation saine : fruits noix yaourt ou légumes crus avec houmous !
Recette détox,Pour une recette détox : légumes verts citron gingembre et tisanes sont excellents !
Recette anti-fatigue,Pour combattre la fatigue : fer vitamine C et magnésium. Épinards viande et noix sont idéaux !
Recette pour le cerveau,Pour le cerveau : poissons gras noix baies et œufs sont excellents. Qu'avez-vous ?
Recette pour l'immunité,Pour renforcer l'immunité : vitamine C zinc et probiotiques. Agrumes ail yaourt et épinards !
Recette pour le sommeil,Pour mieux dormir : noix bananes lait chaud et tisanes à la camomille sont bénéfiques !
Recette pour la digestion,Pour la digestion : yaourt kéfir fenouil gingembre et fibres sont excellents !
Recette végétalienne protéinée,Pour des protéines végétaliennes : tofu tempeh légumineuses quinoa et edamame !
Quelle est la différence entre végétarien et vegan ?,Végétarien évite la viande et le poisson. Vegan évite tous les produits animaux : viande poisson œufs et produits laitiers !
Recette paléo,Le régime paléo privilégie viandes légumes fruits noix et exclut céréales légumineuses et produits laitiers !
Recette méditerranéenne,La diète méditerranéenne inclut huile d'olive poisson légumes légumineuses et céréales complètes !
Recette nordique,La diète nordique met en avant poissons baies céréales complètes et légumes racines !
Index glycémique bas,Les aliments à IG bas : légumineuses légumes céréales complètes et la plupart des fruits !
Recette pour sportif endurance,Pour l'endurance : glucides complexes comme pâtes riz avoine et protéines maigres sont essentiels !
Recette pour sportif récupération,Pour la récupération : protéines et glucides dans les 30 minutes post-entraînement. Yaourt banane ou poulet-riz !
Recette sans sucre ajouté,Pour éviter le sucre ajouté : utilisez des fruits mûrs de la vanille ou de la cannelle comme substituts naturels !
Recette sans gluten sans lactose,Pour sans gluten sans lactose : riz quinoa légumes fruits et protéines maigres sont parfaits. Qu'avez-vous ?
Recette hypocalorique,Pour une recette hypocalorique : légumes à volonté protéines maigres et peu de matières grasses ajoutées !
Recette riche en antioxydants,Pour les antioxydants : baies thé vert chocolat noir légumes colorés et épices comme le curcuma !
Quel est l'apport calorique recommandé ?,L'apport calorique recommandé est d'environ 2000 kcal pour une femme et 2500 kcal pour un homme selon l'activité physique !
Combien de repas par jour ?,Il est généralement recommandé de faire 3 repas principaux et éventuellement 1-2 collations selon vos besoins !
Recette sans produits transformés,Pour éviter les produits transformés : cuisinez avec des ingrédients frais et entiers. Listez ce que vous avez !
Je suis végétarien,Je vais chercher des recettes sans viande ni poisson. Quels ingrédients avez-vous ?
Je suis vegan,Je filtre les recettes 100% végétales. Quels ingrédients avez-vous ?
Je suis sans gluten,Pour les recettes sans gluten : pas de farine de blé ni pâtes classiques. Quels ingrédients avez-vous ?
Je suis intolérant au lactose,Je vous recommande des recettes sans produits laitiers. Quels ingrédients avez-vous ?
Je suis allergique aux noix,Compris ! Je vous recommande des recettes sans noix. Quels ingrédients avez-vous ?
Je mange halal,Pas de problème ! Je vous recommande des recettes halal uniquement. Quels ingrédients avez-vous ?
Je suis diabétique,Je privilégie les recettes à faible index glycémique. Quels ingrédients avez-vous ?
Je fais un régime cétogène,Pour le régime keto : peu de glucides beaucoup de graisses saines. Quels ingrédients avez-vous ?
Je ne mange pas de porc,Compris ! Je filtre toutes les recettes avec du porc. Quels ingrédients avez-vous ?
Je suis pescatarien,Je vous recommande des recettes avec poisson et végétaux uniquement. Quels ingrédients avez-vous ?
Je suis flexitarien,Super choix ! Le flexitarisme réduit la viande sans l'éliminer. Quels ingrédients avez-vous ?
Je fais un régime sans sel,Pour un régime sans sel : herbes fraîches citron et épices naturelles remplacent le sel !
