name,description,ingredients,etapes,source
Spiced Lamb Burgers with Halloumi and Cucumber Sauce,Uses [KitchenAid® Stand Mixer](https://yummly.app.link/k3bnNNhsd1) and [Metal Food Grinder Attachment](https://yummly.app.link/X0rJ98Isd1).,"Ingredients  6 toasted buns  8 oz. Halloumi, sliced  2 tablespoons olive oil, divided  1/2 teaspoon fresh black pepper  1/2 teaspoons sea salt  1 teaspoon cumin  1/2 teaspoon dried red chilies  1 tablespoon minced fresh parsley  2 tablespoons chopped fresh mint  1/4 cup finely chopped red onion  2 cloves garlic  1 1/2 pounds lamb shoulder, cut into 1-1/2 inch pieces  1 small clove garlic, grated  1 teaspoon fresh lemon zest  1 teaspoon fresh lemon juice  1 tablespoon chopped fresh mint  1/2 cup seeded and finely chopped cucumber  3/4 cup plain Greek yogurt","Step by stepCombine all ingredients for cucumber sauce in medium bowl (3/4 cup plain greek yogurt, 1/2 cup cucumber, 1 Tbs mint, 1 tsp fresh lemon juice, 1 tsp fresh lemon zest, 1 clove garlic). Cover and refrigerate until ready to use.Place lamb on a parchment lined baking sheet and freeze for 20 minutes.  Attach KitchenAid® Metal Food Grinder Attachment with coarse grinding plate to KitchenAid®Stand Mixer. Position mixer bowl under attachment.  Turn mixer to speed 4 and grind lamb and 2 cloves garlic.  Remove food grinder and attach flat beater and mixer bowl to mixer.  Add 1/4 cup red onion, 2 Tbs mint, 1 Tbs parsley, 1/2 tsp chilies, 1 tsp cumin, 1/2 tsp salt and 1/2 tsp pepper, turn to Stir speed and mix until combined, about 30 seconds.  Shape mixture into 6 patties.Heat 1/2 tablespoon olive oil in large skillet over medium high heat. Place the Halloumi slices in pan, do not overcrowd, and cook 6 to 8 minutes, or until browned on both sides. Remove and set aside.Add 1/2 tablespoon oil to same skillet and heat over medium heat. Cook burgers in batches until cooked through, about 3 to 4 minutes per side, adding remaining oil as needed.  Serve immediately with grilled Halloumi and yogurt sauce on toasted buns.",kitchenaid
Potato Red Pepper Hash,Potato Red Pepper Hash,"Ingredients  1/2 cup cooked bacon, crispy and crumbled  1 teaspoon fresh ground pepper  3/4 teaspoon kosher salt, or to taste  1 garlic clove, minced  1 green onion, snipped  1 tablespoon unsalted butter  1 tablespoon extra-virgin olive oil  1 jalapeño pepper, cored and seeded  1/4 white onion, peeled  1/2 red pepper, cored and seeded  3 Russet potatoes, washed and dried","Step by stepAssemble the dicing kit in the work bowl of the KitchenAid® Pro Line® 16 cup Food Processor. Use the medium food pusher to dice the potatoes, red pepper, onion, and jalapeño. Use the clean out grid to push any caught vegetables through to dice.Heat the olive oil and butter in a large sauté pan set over medium heat. Add the potatoes to the pan and toss with the salt and pepper. Let cook for 3 minutes before stirring (some potato may stick to the bottom of the pan).Add in the red pepper, onion, jalapeño, and garlic, and cook for another 10-12 minutes or until the potatoes are well cooked and beginning to brown.Turn the heat down to low, add in the bacon and green onion, and cook for another 3 minutes. Remove from heat and serve with over medium eggs.Tip: Hash can be made one day ahead, then reheated on a baking sheet at 400 degrees F for 10 minutes.",kitchenaid
Citrus Margarita,Citrus Margarita,Ingredients  Ice  Sparkling water to top  1/2 – 1 ounce agave nectar  1 orange (about 2-3 ounces)  1/2 ruby red grapefruit (about 2-3 ounces)  2-3 limes (about 3 ounces)  5 ounces silver tequila,"Step by stepUsing a KitchenAid® Stand Mixer with KitchenAid® Citrus Juicer Attachment, juice the limes, grapefruit, and oranges to the measurements listed above.Transfer the freshly squeezed citrus juice into a cocktail shaker and add the agave nectar and tequila along with some ice cubes. Secure the top onto the cocktail shaker and shake for 45 seconds until well mixed.Strain the mixture into glasses filled with ice and top with a bit of sparkling water. Serve immediately.",kitchenaid
Blueberry Vanilla Jam,Blueberry Vanilla Jam,"Ingredients  1/2 vanilla bean pod, seeds scraped  2 tablespoons lemon juice  1 teaspoon calcium water  1 teaspoon pectin  3/4 cup granulated sugar  1 1/4 pounds (about 3 1/2 cups) fresh or frozen blueberries, rinsed and stems removed","Step by stepPlace a canning rack at the bottom of your KitchenAid® 8.0-Quart Stockpot with Lid and fill 2/3 of the way up with water. Begin to boil the water by placing over medium-high heat on the cooktop of your KitchenAid® Electric Double Oven Convection Range. Wash and sterilize five 4 ounce mason jars and submerge in the water bath as it heats. The Stockpot should be just about boiling by the time the jam is ready to be added to the jars.In a bowl, whisk together sugar and pectin until evenly incorporated.Add your fruit to your KitchenAid® 3.5-Quart Sauté Pan and lightly mash the blueberries using a wire potato masher. You should have approximately 2 cups of mashed fruit. Once your fruit is mashed, add the lemon juice, calcium water, vanilla bean pod and seeds, and heat your ingredients to a boil in your Sauté Pan, stirring occasionally to avoid scalding.Whisk in the sugar/pectin mixture, stirring vigorously until completely dissolved. Continue to stir until mixture comes to a full rolling boil, which shouldn’t take longer than 1-2 minutes. Remove the Stockpot from the heat and remove the vanilla pod from the mixture.Ladle your jam into the mason jars, leaving 1/4″ of headspace. Wipe the jar rims with a wet paper towel. Screw on the lids and rings until just tight, then process in a boiling water bath for 10 minutes. Remove the mason jars from the water and let cool completely, about 12 to 24 hours. Check the seals. Any unsealed jars should be refrigerated and used within 1 month.",kitchenaid
Spiced Parsnip Muffins,Spiced Parsnip Muffins,"Ingredients  1/3 cup chopped candied ginger  2 teaspoons molasses  2 1/2 teaspoons water or milk  3/4 cup powdered sugar  1/4 cup golden raisins  1/4 cup unsalted butter, melted and cooled slightly  1/3 cup buttermilk  2 eggs  1/3 cup packed brown sugar  1/3 cup granulated sugar  Pinch cinnamon  1/2 teaspoon ground nutmeg  1/4 teaspoon salt  1/4 teaspoon baking soda  1 1/2 teaspoons baking powder  1 1/2 cups all-purpose flour  6 to 8 small parsnips, peeled","Step by stepHeat the oven to 350°F. Line 10 cavities in your KitchenAid® Muffin Pan with paper baking liners.Attach your KitchenAid® Rotor Slicer/Shredder to the power hub of your Stand Mixer. Using the coarse shredding cone, grate the peeled parsnips into a large bowl or the bowl of the Stand Mixer. Measure out 2 cups of the grated parsnips; reserve the remainder for another use.In a clean bowl of your Stand Mixer fitted with the flat beater, mix the flour, baking powder, baking soda, salt, nutmeg and cinnamon until combined. In a separate medium bowl, whisk the sugars, eggs, buttermilk and melted butter until smooth. Pour the wet ingredients into the dry ingredients; stir with the flat beater to combine. Stir in the grated parsnips and raisins until just combined.Divide the batter evenly among the prepared Muffin Pan. Bake for 20 to 25 minutes until a toothpick inserted in the centers comes out clean. Cool the muffins in the Muffin Pan for 5 minutes, then transfer them to a cooling rack to cool completely.In a small bowl, stir the powdered sugar, water and molasses until smooth, adding more powdered sugar or water to make a drippier glaze. Dip the tops of the fully cooled muffins one at a time into the glaze and let the excess glaze drip off. Return the glazed muffins to the cooling rack; top each muffin with about 2 teaspoons chopped candied ginger. Allow the glaze to set completely, about 30 minutes.",kitchenaid
"Pasta, Greens and Beans With or Without Sausage","Pasta, Greens and Beans With or Without Sausage","Ingredients  Grated Italian cheese for serving  Salt and red crushed pepper to taste  Salt and red crushed pepper to taste  1 to 2 cups reserved pasta water  1 tablespoon dried basil  1 can (15 ounces) white cannellini beans, rinsed and drained  1 tablespoon sugar  3 tablespoons tomato paste  1 tablespoon balsamic vinegar  1 cup of white wine (vegetable broth can be substituted)  1 large bunch of broccoli rabe greens, chopped and stalks removed (about 5 to 6 cups)  1/2 cup chopped sun dried tomatoes  1 tablespoon chopped garlic  3 tablespoons olive oil  12 ounces spicy Italian sausage, sliced in half inch pieces (optional)  1 pound pasta ( I used orecchiette pasta)","Step by stepCook the pasta in a large pot of salted water al a dente according to package directions. Drain the pasta and keep warm. Reserve one to two cups of pasta water.In the meantime, brown the sausage (if you want meat in your recipe) in a grill or frying pan and cook for about 10 minutes or until cooked through.  Set the sausage aside.In a large pot, heat the olive oil on medium heat and add the garlic, sun dried tomatoes and broccoli rabe.  Cook for a few minutes or until the broccoli rabe is wilted. Add the wine, vinegar, tomato paste and sugar. Simmer on low for about 10 minutes until the veggies are cooked and the sauce thickens.Add the pasta to the pot along with the beans and dried basil. Add one to two cups of the pasta water, stir and cook on low until everything is well blended.Mix the cooked sausage into a big bowl with the desired amount of pasta depending on how many meat eaters you have.  Use another bowl for the pasta without sausage. Add salt and crushed red pepper to taste. Serve with grated Italian cheese.",kitchenaid
Beer & Cheese Dip,Beer & Cheese Dip,Ingredients  1 teaspoon sliced scallions (optional garnish)  1 teaspoon garlic powder  2 teaspoons dry (ground) mustard  2 tablespoons prepared horseradish  8 ounces cheddar blue cheese  6 ounces beer  8 ounces cream cheese,"Step by stepAttach KitchenAid® Precise Heat Mixing Bowl and Flex Edge Beater to your KitchenAid® Stand Mixer. Place cream cheese and beer in bowl and set heat to 215° F.Once preheated, turn Stand Mixer to Stir and blend cream cheese and beer together until smooth.Shred the cheddar blue cheese with your KitchenAid® Pro Line® Series 16-Cup Food Processor using the reversible shredding disc and set on the large shred setting.Add shredded cheddar blue and continue to mix until melted and smooth. Continuing on Stir speed, blend in horseradish, mustard, and garlic until mixed.Serve immediately or keep warm in bowl. Serve with chips, pretzels, veggies, or any other snackable item you have laying around.",kitchenaid
Lentil Carrot Avocado Salad,Lentil Carrot Avocado Salad,"Ingredients  1 tablespoon flax seeds  2 tablespoons sunflower seeds  freshly ground black pepper to taste  1/2 teaspoon flaked salt  1 tablespoon lemon juice  1 tablespoon olive oil  2 tablespoons fresh parsley, chopped  1 avocado, peeled, pitted and sliced  2 cups arugula  3 medium carrots, peeled and cut into 4 inch pieces  6 radishes, cleaned  4 cups water or vegetable stock, divided  1/2 cup sprouted brown rice  1/2 cup french lentils","Step by stepIn medium saucepan, bring lentils and 3 cups water or vegetable stock to a boil. Simmer until tender, about 15 minutes. Drain and cool.Bring brown rice and 1 cup water or vegetable stock to a boil over high heat. Cover and reduce heat and cook 20-25 minutes, until water is absorbed. Remove from heat and toss with a fork, Allow to cool.Attach Fresh Prep Slicer/Shredder Attachment to KitchenAid® Stand Mixer, and attach slicing blade. Position large bowl under attachment to catch sliced ingredients. Stack radishes end to end in feed tube. Turn stand mixer to speed 5 and process until radishes are sliced.Remove slicing blade and attach medium shredding blade. Fill feed tube with carrots. Turn stand mixer to speed 8 and process until carrots are shredded. In large bowl, toss lentils, brown rice, radishes, carrots, arugula and parsley. Drizzle with olive oil, lemon juice, salt and pepper. Top with avocado slices. Sprinkle with sunflower and flax seeds and serve immediately.",kitchenaid
Sweet Potato Carrot Cake with Cream Cheese Vanilla Bean Frosting,Uses [KitchenAid® 7 Cup Food Processor](https://yummly.app.link/jSYLe2Ssd1).,"Ingredients  1/2 cup chopped walnuts, optional  4 cups powdered sugar  1 whole vanilla bean, cut open and scraped  1/2 cup sour cream  16 ounces cream cheese, room temperature  2 sticks butter, room temperature  1/2 teaspoon allspice  1/2 teaspoon salt  1 1/2 teaspoons baking powder  1 teaspoon ground ginger  1 teaspoon clove, ground  1 teaspoon cinnamon  1 1/2 cups sugar  2 1/2 cups all purpose flour  2 teaspoons vanilla extract  1 cup buttermilk  1 cup vegetable oil  4 large eggs  3 large carrots, peeled  2 medium sweet potatoes, peeled and quartered","Step by stepHeat oven ta 325°F and line bottom of two 9"" cake pans with parchment and spray with non-stick spray. KitchenAid® 7 Cup Food Processor with shredding blade, secure lid, turn on high and put sweet potatoes and carrots into feed tube one at a time and use food pusher to shred. When complete press high and unit will turn off, set aside. ln the bowl of a KitchenAid® Stand Mixer with flat beater secured, add eggs, oil, vanilla and buttermilk and turn to speed 3, mix until incorporated, then add sweet potatoes and carrots and mix together. ln another bowl, sift together flour, sugar, cinnamon, clove, ginger, baking soda, baking powder, salt and allspice. Slowly add dry ingredients to wet and mix by hand with spatula until all ingredients are incorporated. Transfer batter to pans and bake for 25 to 30 minutes or until center is firm. Remove from oven and cool on rack. To prepare frosting, add to KitchenAid® Stand Mixerw ith the wire whip attached butter, cream cheese, sour cream and vanilla place mixer on 6 whip until smooth, slowly add powdered sugar until frosting is smooth. Fill layer with frosting and frost sides and top. Top with chopped walnuts if desired.",kitchenaid
Cappuccino Fudge Cupcakes,Cappuccino Fudge Cupcakes,"Ingredients  2 ½ cups powdered sugar  2 teaspoons vanilla  ½ cup (1 stick) butter or margarine, softened  4 packages (3 ounces each) cream cheese, softened  ¼ teaspoon salt  1 ½ teaspoons baking powder  1 3/4 cups all-purpose flour  1 tablespoon plus 2 teaspoons instant espresso or coffee granules  3/4  cup milk  3 eggs  1 ½ cups sugar  ½ cup (1 stick) butter, softened","Step by stepBeat butter in large bowl with electric mixer on medium-high speed until creamy. Add sugar gradually with mixer running and beat 3 minutes or until light and fluffy. Reduce speed to medium and add eggs, one at a time, beating for 30 seconds after each addition.Stop and scrape bowl. Dissolve instant espresso in milk. Set aside.Combine flour, baking powder and salt. Turn mixer to low and add a third of the flour mixture alternately with half of the milk mixture, mixing 15 seconds after each addition.Spoon batter into 8 greased and floured custard cups. Place cups on baking sheet. Bake at 350°F for 30 to 35 minutes, or until toothpick inserted into cupcake comes out clean. Remove from custard cups and cool on wire rack. Top with Cream Cheese Frosting.Place cream cheese, butter, and vanilla in mixer bowl. Attach bowl and flat beater to mixer. Turn to Speed 6 and beat 2 minutes. Stop and scrape bowl.Sift powdered sugar into bowl. Turn to Speed 2 and beat 30 seconds, just until combine. Stop and scrape bowl. Turn to Speed 6 and beat 2 minutes. Refrigerate until ready to use.",kitchenaid
Grilled Peach Pie,Grilled Peach Pie,"Ingredients  2 tablespoons cold butter, diced into small cubes  1/4 teaspoon salt  1 teaspoon ground cinnamon  1 cup granulated sugar  1/2 cup all-purpose flour  1 tablespoon fresh squeezed lemon juice  5 cups peeled and sliced peaches  1 egg, beaten  1 (15-ounce) package pastry for a 9-inch double crust pie  1 (15-ounce) package pastry for a 9-inch double crust pie","Step by stepLine the bottom and sides of a 9-inch oven-safe skillet with one of the pie crusts.Place the sliced peaches in a large bowl, and sprinkle with lemon juice. Mix gently.In a separate bowl, mix together the flour, sugar, cinnamon, and salt. Sprinkle over the peaches and mix gently.Pour peach filling into the pie crust and then drop dollops of butter on top. Cover with the other pie crust, and press the edges together with your fingertips, sometimes called “fluting” the edges, so they are sealed.Brush the egg over the top crust. Cut several slits in the top crust to vent steam.Cover pie with a foil tent and secure the edges.Heat grill to 350 degrees. (On my KitchenAid® Grill all of the burners are set to low for 350 degrees.)Place the skillet on the grill rack. Cover and grill for 1 1/2 hours or until filling is bubbly. I checked the pie 3 times and the temperature ranged from 350-450 degrees throughout that time.After 1 1/2 hours, remove foil and bake for another 30 minutes, allowing crust to turn golden and flakey.Allow pie to cool for at least 15 minutes before cutting into.Optional: Serve with whipped cream and sliced peaches sprinkled with cinnamon.",kitchenaid
Cinnamon Almond Coffee,Cinnamon Almond Coffee,Ingredients  3 teaspoons powdered sugar  1/2 teaspoon cinnamon  1/2 teaspoon almond extract  1 teaspoon vanilla  1/2 cup heavy whipping cream  3 cups fresh brewed coffee,"Step by stepIn blending pitcher of the KitchenAid® Pro Line® Cordless Hand Blender, add the whipping cream through the powdered sugar. Insert frother attachment into the motor arm, and froth on speed 4 until thickened.Pour coffee into 2 high rise mugs and top each with 1/4 cup cinnamon whipped cream. Garnish with 1/8 teaspoon cinnamon if desired.Tip: For an adult twist, add 1 ounce Kahlua or 1 ounce Amaretto to the coffee",kitchenaid
Pumpkin Apple Bundt Cake,Pumpkin Apple Bundt Cake,"Ingredients  Chocolate shavings, optional  3/4 cups heavy whipping cream  1 cup confectioners sugar  1/2 teaspoon vanilla extract  1/2 cup butter, softened  4 ounce cream cheese, softened  1 gala apple, peeled, cored, and chopped  1/2 teaspoon salt  1/4 teaspoon ground cloves  1/4 teaspoon ground ginger  1/4 teaspoon ground nutmeg  1 teaspoon ground cinnamon  2 cups all-purpose flour  1/2 cup canola oil  1/2 cup applesauce  4 eggs  1 1/2 cups sugar  1 can (15-ounce) pure pumpkin","Step by stepPreheat oven to 350 degrees F.Use vegetable shortening to grease and flour a 10-inch fluted tube pan.Combine the pumpkin, sugar, eggs, applesauce, and oil in the bowl of a KitchenAid® Stand Mixer fit with a flat beater attachment and beat until combined.In another bowl, whisk flour, and spices; gradually beat into pumpkin mixture. Add chopped apples and lightly combine.Transfer batter to prepared pan.Bake 50-55 minutes or until a toothpick inserted in center comes out clean.Cool in pan 10 minutes before removing to a wire rack to cool completely.For the icing: In a small bowl, with a hand mixer, beat cream cheese, butter and vanilla until blended. Gradually beat in confectioners’ sugar and heavy whipping cream until smooth.Frost cake and sprinkle with shaved chocolate, if using.",kitchenaid
Cannelloni with Spinach and Sundried Tomatoes,Cannelloni with Spinach and Sundried Tomatoes,"Ingredients  1/8 teaspoon crushed red pepper flakes  1/2 teaspoon fresh ground pepper  1/2 teaspoon salt  4 cups whole milk  1 garlic clove, minced  3 tablespoons unsalted butter  16-6 by 4 fresh pasta rectangles  salt and pepper to taste  salt and pepper to taste  3-1/2 cups grated Parmesan cheese, divided  2/3 cup chopped sun dried tomatoes  1 1/2 cups shredded chicken  1 large egg, beaten  1-3/4 cups ricotta cheese  14 ounces baby spinach leaves  4 garlic cloves, minced  1 small onion, chopped fine  2 tablespoons extra-virgin olive oil  1/2 cup water  3 tablespoons extra-virgin olive oil  4 large egg yolks  1/4 teaspoon dried oregano  1/4 teaspoon pepper  1/4 teaspoon salt  1/2 cup whole-wheat flour  2 cups cake flour","Step by stepPlace all ingredients into mixing bowl of KitchenAid® Pro Line® 7-Quart Stand Mixer. Attach bowl and flat beater to mixer. Set mixer to stir speed and mix for 1 minute. Increase speed to 2 and continue mixing until a smooth and elastic ball begins to form. Remove dough from bowl and wrap with plastic wrap. Allow dough to rest for 1 hour before rolling out with pasta roller.Separate dough into 4 equal sized rectangular pieces. Attach pasta roller to stand mixer and feed one pasta rectangle through the roller on setting. Fold dough in half and feed through again on setting Increase to setting 2 and feed pasta sheet through again. Continue to increase the setting and feed the pasta sheet through until reaching setting Place pasta sheet onto parchment paper and cover with plastic wrap to prevent pasta from drying. Repeat process with the remaining dough.Use a very sharp knife to cut pasta sheets into 6 by 4 inch rectangles. Proceed with the following recipe as indicated.Heat the olive oil in a large sauté pan set over medium heat. Add in the onion and cook until they are just beginning to brown. Add in garlic and cook, stirring constantly until fragrant, about 30 seconds.Add spinach leaves in 2 batches, cooking each batch until wilted, then add chicken and tomatoes and stir until just heated through, about 1 minute. Remove from heat and place mixture into mixing bowl. Cool to room temperature. Add ricotta, egg, and 1 cup of the Parmesan cheese to mixing bowl and attach bowl and flat beater to the mixer. Mix on stir speed until all ingredients are evenly combined, 30 seconds to a minute. Season to taste with salt and pepper. Set aside and prepare the white sauce.Melt butter over medium-low heat. Add in garlic and cook 30 seconds. Whisk in flour and cook roux for 2 minutes, stirring constantly. Add milk in a slow stream, stirring constantly with a wire whisk and boil over high heat until sauce begins to thicken, 15-20 minutes. Reduce heat and simmer 2 minutes, then whisk in 1 1/2 cups of the Parmesan cheese and whisk until smooth. Remove from heat and set aside. Prepare pasta sheets.Cook pasta sheets, 2 sheets at a time, for 3-4 minutes in a large pot of generously salted boiling water. Remove from pot and place into a bowl of cold water to stop cooking process. Dry thoroughly on clean kitchen towels.Preheat oven to 425 degrees and assemble cannelloni. Spray 2-9 inch baking dishes with non-stick cooking spray and spread 1 cup of sauce onto the bottom of each pan. Lay out pasta rectangles so that the longer side is horizontal, and place 1/3 cup of the filling across the bottom end of each. Rolleach one up and place, seam side down into the baking dishes.Evenly pour the remaining sauce over each dish of cannelloni and sprinkle each with 1/2 cup Parmesan cheese. Bake at 425 degrees for 20 minutes, then broil for the last 4-5 until cheese is bubbling and beginning to brown. Let stand for 5 minutes before serving.",kitchenaid
Fresh Fruit Tart,Fresh Fruit Tart,"Ingredients  1/2 blackberries  1/2 cup blueberries  1/2 cup raspberries  5-6 strawberries, hulled  1 mango, peeled and pitted  2 peaches or nectarines, pitted and cut in half  2 kiwi, peeled  1 banana, peeled  2 tablespoons whole milk  2 teaspoons pure vanilla extract  2 tablespoons unsalted butter  2 cups half and half  3 tablespoons cornstarch  2/3 cup sugar  6 large egg yolks  1/8 teaspoon kosher salt  1-3/4 cups all-purpose flour  1 teaspoon fresh lemon zest  2 teaspoons pure vanilla extract  1/3 cup granulated sugar  3/4 cup unsalted butter at room temperature","Step by stepPreheat oven to 350 degrees F. Fit the work bowl of a KitchenAid®Pro Line® 16 cup Food Processor with the multipurpose blade and push to lock. Add in the butter, sugar, and lemon zest and process on low speed until they are well combined, about 10 seconds.Add in the vanilla and pulse 5 times. Add in the flour and salt and process until dough starts to come together, about 20 seconds.Dump dough out onto a surface dusted lightly with flour and form dough into a disk. Press the dough into a 10-inch round tart pan with a false bottom.Place a piece of 9-inch parchment paper on top of the tart and fill with beans or rice. Bake for 20 minutes. Remove the paper and beans and prick the bottom of the tart all over with a fork. Bake again for 20 minutes or until lightly browned. Allow to cool to room temperature.Position the mini-blade in the mini-bowl of the food processor and push to lock. Process the egg yolks and sugar on low speed for 2-3 minutes , until the mixture is light yellow and slightly thickened. Add in the cornstarch and vanilla and process for another 10 seconds.Bring the half and half to a boil in a medium saucepan and, with the food processor on low speed, pour it through the feed tube into the egg mixture. Pour mixture back into the saucepan and cook over medium heat, whisking constantly, until the mixture thickens, 8-10 minutes.Remove from heat and mix in the butter and whole milk. Spoon into a bowl and allow to cool. Then wrap tightly with plastic wrap placed directly onto the custard to avoid condensation. Refrigerate until cold.Place the slicing disc in the work bowl of the stand mixer, and set it to the fifth notch from the left. Use the food pusher to feed the banana through the strawberries down the feed tube to slice. Set aside.Push the false bottom up through the tart pan to remove the shortbread crust. Spread the pastry filling evenly over the bottom of the crust, then arrange the fruit slices and berries over top randomly.Tip: Shortbread crust can be baked one day ahead and wrapped overnight to store. Pastry filling can be made one day ahead and refrigerated overnight. Tart should not be assembled and refrigerated or it will get soggy. Serve within 2 hours of assembling.",kitchenaid
Steamed Pork & Shrimp Wontons,Steamed Pork & Shrimp Wontons,"Ingredients  Green onions, sliced  40 wonton wrappers  1 cup chicken stock  1 tsp. sesame oil  1 Tbsp. rice vinegar  1 tsp. honey  1 tsp. chili oil  1 Tbsp. soy sauce  ½ tsp. fresh ground black pepper  1 tsp. sugar  1 Tbsp. sesame oil  1 Tbsp. mirin  1½ Tbsp. soy sauce  1-inch piece fresh ginger, chopped  2 cloves garlic, peeled  2 green onions  8 oz. peeled and deveined shrimp  8 oz. ground pork","Step by stepPlace all ingredients in bowl of food processor. Pulse 5-6 times until chopped and combined. Transfer to bowl, cover and refrigerate 30 minutes.Spread wontons wrappers onto work surface. Add about 1 teaspoon filling to center of wonton. Wet edges of wrapper with water to help it stick. Bring corners up to a point and press edges to seal. Repeat with all wrappers.Combine ingredients in saucepan. Bring to a simmer for 4-5 minutes to combine flavors. Cover and keep warm.Set the Smart Oven+ Attachment base pan with heating element and Steamer Water Basin Pan on the oven rack. Fill Water Basin Pan with 4 cups of water, cover with Lid and place in oven.  Select STEAM mode and preheat for 10 minutes.Arrange wontons on Perforated Steamer Tray and place in Water Basin Pan; cover with Lid.  Cook 8-10 minutes. Serve in bowls with Chili Broth and green onions if you like.",kitchenaid
Cauliflower Griddle Cakes,Cauliflower Griddle Cakes,"Ingredients  Lemon wedges, for serving  1/2 pound piece of Parmigiano-Reggiano cheese  4 Tablespoons extra-virgin olive oil, or as needed  1/2 cup all-purpose flour  Kosher salt and freshly ground pepper  Kosher salt and freshly ground pepper  1 tablespoon baking powder  Zest of 1 lemon  2 large eggs  1/2 cup fresh sheep’s-milk ricotta  4 scallions, very thinly sliced  2 garlic cloves, very thinly sliced  1 medium cauliflower, leaves removed","Step by stepGrate the raw cauliflower on a box grater into small pieces.In a large bowl, combine the cauliflower, garlic, scallions, ricotta, eggs, lemon zest, baking powder and 1 teaspoon each of salt and pepper. Stir well, then stir in flour until just incorporated.Heat 1 tablespoon olive oil in a sauté pan or on flat top griddle. Working in batches, add 2-tablespoon mounds of the cauliflower batter to the hot oil, spreading them to form 3-inch fritters. Fry over moderately high heat, turning once, until browned and crisp, about 3 minutes. Continue with remaining olive oil and batter.Transfer fritters to serving plate, grate the Parmigiano-Reggiano over them and serve right away with lemon wedges.",kitchenaid
Pear Crisp,Pear Crisp,"Ingredients  Ice cream or whipped cream (optional)  1/2 teaspoon grated fresh ginger  1 teaspoon fresh lemon juice  4 d’anjou pears  1/2 cup (1 stick) cold butter, cut into cubes  1/2 teaspoon salt  3/4 cup packed brown sugar  1 cup old-fashioned oats  1 cup all-purpose flour  1/2 cup whole almonds","Step by stepPreheat oven to 375°F.Grease 9-inch square baking pan.Place almonds in food processor; pulse about 15 times or until coarsely chopped. Add flour, oats, brown sugar and salt; break up brown sugar with wooden spoon. Pulse 5 times to combine. Add butter; pulse until mixture forms coarse crumbs.Attach Spiralizer Attachment to KitchenAid® Stand Mixer. Center one pear on fruit and vegetable skewer; attach to Spiralizer. Attach spiral slice small core blade and position at end of pear. Turn mixer to speed 4 and process until blade reaches end of pear. Repeat with remaining pears. Arrange pears in prepared baking pan. Combine lemon juice and ginger in small bowl; brush evenly over pears. Sprinkle with crumb mixture.Bake 40 to 45 minutes or until topping is golden brown and pears are tender. Cool slightly. Serve with ice cream, if desired.",kitchenaid
"Pistachio, Vanilla and Chocolate Crunch Semifreddo","Pistachio, Vanilla and Chocolate Crunch Semifreddo","Ingredients  Pinch vanilla salt (optional)  8 figs, quartered (optional)  2 ounces (55 g) shelled pistachios, roughly chopped, plus more for topping  1 pint (450 ml) heavy whipping cream, plus more for serving  1 vanilla bean, split lengthwise and seeds scraped  1/2 cup (100 g) sugar  4 large eggs  5 ounces (145 g) 70% dark chocolate, chopped and divided","Step by stepLine a loaf pan with plastic wrap on all sides.Place 4 ounces of chopped chocolate in a heatproof bowl (reserve the rest to fold into chocolate base). Fill a KitchenAid® 3.0-Quart Low Casserole about a little less than halfway with water and bring it to a simmer on your Gas Cooktop. Place the bowl with the chocolate over the 3.0-Quart Low Casserole and let the chocolate melt slowly while stirring occasionally. Do not let the water boil too briskly or allow any steam get into the chocolate bowl. Remove the bowl with the melted chocolate and set aside to cool slightly.Whisk the eggs, sugar and vanilla seeds in the bowl from your KitchenAid® Stand Mixer. Place the mixing bowl over the same water bath you used to melt your chocolate. Heat the egg mixture over simmering heat while whisking consistently. When the eggs have doubled in volume and feel hot to the touch, transfer the bowl back to the Stand Mixer. Fitted with the whisk attachment, whip on high speed until cooled and thick. Pour half of the egg mixture over the melted and cooled chocolate and fold until well incorporated. Transfer the rest of the mixture into a clean bowl.Wash and dry the Stand Mixer bowl. Pour the heavy cream into the bowl and whip with the whisk attachment on high speed until it thickens a bit. Then, fold in the egg mixture and combine until the mixture is tripled in volume and cools.Pour half of the whipped cream into the chocolate base and the rest into the vanilla base. Fold gently until incorporated while still maintaining its volume.Fold the remaining chopped chocolate into the chocolate base and the chopped pistachios into the vanilla base. Pour the vanilla base into the prepared Loaf Pan. Spread evenly. Then, pour the chocolate base over the vanilla and gently spread evenly so the separate layers are visible when unmolding. Wrap the top with plastic wrap. Freeze the semifreddo for at least 4 hours, preferably overnight.Remove the Loaf Pan from freezer and unwrap. Heat a sharp chef’s knife over hot water and slice the semifreddo into 8 portions. Clean the knife in hot water in between slices to keep the cuts nice and clean. Serve with whipped cream, figs, chopped pistachios and vanilla salt.",kitchenaid
